"Notebook","Title","Page count"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq249/object","Erano tre amici : racconto. 1 gennaio 1969","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq107/object","Stufe & termosifoni","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq107/object","Stufe & termosifoni ; I camaleonti in farmacia. 3.8.1959","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq101/object","Guido Cagnacci : (mostra, 1959)","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq100/object","La signora La Fayette","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq100/object","La signora La Fayette ; Le vecchie librerie. (14.4.1959)","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq126/object","Il custode di Port Royal","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq126/object","Il custode di Port Royal ; Verso le sei di sera : (Parigi). 18.10.1960 ; Segno e immagine di Brandi","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq225/object","Collages","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq435/object","Il caffe di Petronio","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq261/object","Notizie per un mantovano : racconto. 6 maggio 197","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq132/object","Storia di Carlo Carra. Gennaio 1961","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq256/object","La colazione : racconto. 2.11.1969 ; La bella vita : racconto. 6.11.1969 ; La citta : racconto. 13.11.1969","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq256/object","La colazione : racconto. 2.11.1969","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq193/object","La vita di Galileo di Brecht","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq193/object","La vita di Galileo di Brecht ; Le ""opere"" di Barilli. 5.2.1964","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq282/object","Una vita con Blaise Pascal. 20.10.1972","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq263/object","Pomeriggio al mare : racconto","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq284/object","La bambina che dipinge : racconto. 14.4.1972 ; La Chiave Regina : racconto. 20.4.1972","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq284/object","La bambina che dipinge : racconto. 14.4.1972","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq293/object","La speranza. 4.6.973","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq32/object","Rosai. (1955)","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq229/object","Otto acquerelli di Cezanne. 24.5.1967 ; Crepuscolo di uno scrittore : (Scott Fitzgerald). 2.6.1967","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq229/object","Otto acquerelli di Cezanne. 24.5.1967","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq149/object","I disegni di Lea Colliva. Novembre 1961","10 carte"
